SYMBOL,COMPANY,NSE_COMPANY_NAME,SERIES,PURPOSE,FACE_VALUE,EX_DATE,RECORD_DATE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Buyback,1,2018-09-11,2018-09-12,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Annual General Meeting/Dividend Rs 2 Per Share,10,2018-09-12,,2018-09-15,2018-09-24,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Annual General Meeting/Dividend Rs 2 Per Share,1,2018-09-17,,2018-09-19,2018-09-26,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend Rs 2 Per Share,1,2018-09-19,,2018-09-22,2018-09-28,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Rs 0.25 Per Share,1,2018-11-06,2018-11-10,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 9 Per Sh,2,2018-11-09,2018-11-12,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,1,2018-11-20,2018-11-22,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 13 Per Share,5,2019-02-06,2019-02-07,,,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Re 0.25 Per Share,1,2019-02-07,2019-02-08,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Buy Back,2,2019-02-11,2019-02-12,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 8 Per Share,2,2019-02-15,2019-02-18,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,1,2019-02-15,2019-02-19,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 3.50 Per Share,2,2019-02-21,2019-02-22,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Annual General Meeting / Dividend - Rs 66 Per Share,10,2019-04-25,,2019-04-30,2019-05-07,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,2,2019-06-06,2019-06-07,,,,
BIOCON,Biocon,Biocon Limited,EQ,Bonus 1:1,5,2019-06-12,2019-06-13,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Dividend Rs 4 Per Share,5,2019-06-13,2019-06-14,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Annual General Meeting/ Dividend - Rs 1.50 Per Share,2,2019-07-03,,2019-07-05,2019-07-11,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Annual General Meeting,2,2019-07-09,,2019-07-11,2019-07-18,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend Rs 20 Per Share,10,2019-07-11,,2019-07-15,2019-07-22,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 20 Per Share,1,2019-07-15,,2019-07-17,2019-07-19,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend Rs 5.50/-,2,2019-07-18,,2019-07-22,2019-07-29,,
BIOCON,Biocon,Biocon Limited,EQ,Dividend - Rs 0.50 Per Share,5,2019-07-18,2019-07-19,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Annual General Meeting/ Dividend - Rs 28 Per Share,2,2019-07-18,,2019-07-20,2019-07-30,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Annual General Meeting/Dividend - Rs 3 Per Share,10,2019-07-19,,2019-07-23,2019-07-30,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Annual General Meeting/Dividend - Rs 3.50 Per Share,1,2019-07-25,,2019-07-29,2019-08-09,,
LUPIN,Lupin,Lupin Limited,EQ,Annual General Meeting/Dividend - Rs 5 Per Share,2,2019-07-29,,2019-07-31,2019-08-07,,
CIPLA,Cipla,Cipla Limited,EQ,Annual General Meeting/Dividend - Rs 3 Per Share,2,2019-07-31,,2019-08-02,2019-08-16,,
PFIZER,Pfizer,Pfizer Limited,EQ,Dividend - Rs 22.50 Per Share,10,2019-08-01,,2019-08-03,2019-08-09,,
