COST_MULTIPLIER,DATE,NAV_START,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NAV_END,DAILY_RETURN,OPEN_PAIRS_EOD,LONG_EXPOSURE,SHORT_EXPOSURE,GROSS_EXPOSURE,NET_EXPOSURE,GROSS_EXPOSURE_TO_NAV,NET_EXPOSURE_TO_NAV,TURNOVER_VALUE,TURNOVER_TO_NAV
0.0,2021-06-28,1.0326622593230383,0.0017600497361808522,0.0,0.0,0.0,1.0344223090592193,0.0017043808082370937,1,0.1727805886520114,0.11452495155739473,0.28730554020940613,0.058255637094616675,0.27774491877568186,0.05631707338910613,0.0,0.0
0.0,2021-06-29,1.0344223090592193,-0.0005120795959705161,0.0,0.0,0.0,1.0339102294632487,-0.0004950392035109052,1,0.1719684866362427,0.11422492913759653,0.2861934157738392,0.05774355749864617,0.2768068325645793,0.05584968196767291,0.0,0.0
0.0,2021-06-30,1.0339102294632487,-2.495774650154714e-05,0.0,0.0,0.0,1.0338852717167473,-2.41391813237124e-05,1,0.17075327601119747,0.11303467625905285,0.28378795227025033,0.05771859975214462,0.2744868894389275,0.05582689040177926,0.0,0.0
0.0,2021-07-01,1.0338852717167473,0.0016152313895761562,0.0,0.0,0.0,1.0355005031063234,0.0015622926776914792,1,0.17208324018194912,0.11274940904022834,0.28483264922217744,0.05933383114172078,0.27506761065564767,0.05729966423360442,0.0,0.0
0.0,2021-07-02,1.0355005031063234,0.0001322119790852273,0.0,0.0,0.0,1.0356327150854086,0.0001276792997093601,1,0.17362211465385868,0.1141560715330527,0.28777818618691137,0.059466043120805986,0.27787668542624044,0.057420012186368434,0.0,0.0
0.0,2021-07-05,1.0356327150854086,-0.00042099486293014363,0.0,0.0,0.0,1.0352117202224784,-0.00040650981452960977,1,0.17294536297405141,0.11390031471617557,0.28684567769022695,0.05904504825787585,0.2770889008371936,0.05703668834543953,0.0,0.0
0.0,2021-07-06,1.0352117202224784,0.0012976915061303738,0.0,0.0,0.0,1.0365094117286089,0.0012535517911751448,1,0.17253636956755922,0.112193629803553,0.2847299993711122,0.06034273976400621,0.2747008335373066,0.05821726178382822,0.0,0.0
0.0,2021-07-07,1.0365094117286089,0.00030582506021419693,0.0,0.0,0.0,1.036815236788823,0.00029505285408282234,1,0.17357503627613297,0.11292647145191254,0.2865015077280455,0.06064856482422043,0.27632841181557566,0.058495055504834595,0.0,0.0
0.0,2021-07-08,1.036815236788823,0.0005387729640441049,0.0,0.0,0.0,1.037354009752867,0.0005196422129296607,1,0.17333670198889647,0.11214936420063196,0.28548606618952843,0.06118733778826452,0.27520601791238164,0.058984047116992795,0.0,0.0
0.0,2021-07-09,1.037354009752867,0.0027420446916516543,0.0,0.0,0.0,1.0400960544445188,0.0026433065914546194,1,0.17684109873085505,0.11291171625093885,0.2897528149817939,0.0639293824799162,0.27858274602968414,0.06146488317760111,0.0,0.0
0.0,2021-07-12,1.0400960544445188,0.0001649197681776696,0.0,0.0,0.0,1.0402609742126965,0.00015856205537256862,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2904882691876206,0.27928984822729747
0.0,2021-07-13,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-14,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-15,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-16,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-19,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-20,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-22,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-23,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-26,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-27,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-28,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-29,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-07-30,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-08-02,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-08-03,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-08-04,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-08-05,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-08-06,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-08-09,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-08-10,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2021-08-11,1.0402609742126965,0.0,0.0,0.0,0.0,1.0402609742126965,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
